id,nomLatin,famille,type,rendement_actuel,rendement_AI,besoinN_actuel,besoinN_AI,besoinP_actuel,besoinP_AI,besoinK_actuel,besoinK_AI,besoinEau_actuel,besoinEau_AI,densite_actuel,densite_AI,doseSemis_actuel,doseSemis_AI,tauxGermination_actuel,tauxGermination_AI,temperatureGerm_actuel,temperatureGerm_AI,joursLevee_actuel,joursLevee_AI,prixKg_actuel,prixKg_AI,niveau,conservation,description_actuelle,description_AI,sources_AI
Abricotier,,Rosaceae,arbre_fruitier,,3.0,,3,,3,,4,,3,,0.05,,0.05,,85.0,,NON_TROUVE,,NON_TROUVE,,4.5,,False,,Arbre fruitier exigeant en chaleur,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Absinthe,,Asteraceae,aromatique,,1.5,,2,,1,,1,,1,,4.0,,4.0,,85.0,,20,,15,,25.0,,False,,Plante aromatique rustique,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Achillée millefeuille,,Asteraceae,aromatique,,1.0,,1,,1,,1,,1,,6.0,,NON_TROUVE,,85.0,,18,,10,,30.0,,False,,Médicinale et aromatique,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Actinidia,,Actinidiaceae,legume,,4.0,,4,,3,,4,,5,,0.1,,0.1,,85.0,,NON_TROUVE,,NON_TROUVE,,6.9,,False,,"Kiwi, liane vigoureuse","RNM FranceAgriMer 2026, ITAB, Guides Bio"
Ail,Allium sativum,Alliacées,legume,1.5,1.5,2.0,2,2.0,2,3.0,3,1.0,1,28.0,25.0,,25,,85.0,,10,,10,,16.6,Facile,False,,"Bulbe, plantation automne/printemps","RNM FranceAgriMer 2026, ITAB, Guides Bio"
Albizia,,Fabaceae,arbre_fruitier,,NON_TROUVE,,1,,1,,1,,2,,0.01,,0.01,,85.0,,25,,20,,NON_TROUVE,,False,,Arbre ornemental,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Amandier,,Rosaceae,legume,,2.0,,2,,3,,3,,2,,0.04,,0.04,,85.0,,NON_TROUVE,,NON_TROUVE,,12.0,,False,,Arbre fruitier sec,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Amarante,,Amaranthaceae,legume,,2.0,,3,,2,,3,,3,6.25,10.0,,10,,85.0,,20,,10,,15.0,Facile,False,,Feuille ou grain,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Aneth,,Apiaceae,aromatique,,1.5,,2,,1,,2,,3,5.0,30.0,,30,,85.0,,18,,15,,30.0,Difficile,False,,Aromatique annuelle,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Argousier,,,petit_fruit,,2.0,,1,,1,,1,,2,,0.2,,0.2,,85.0,,NON_TROUVE,,NON_TROUVE,,15.0,,False,,Baies riches en vit C,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Artichaut,,Asteraceae,legume,,1.2,,4,,3,,4,,4,,1.0,,1,,85.0,,22,,12,,6.0,,False,,Vivace gourmande,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Asperge,,Asparagaceae,legume,,0.5,,3,,3,,3,,2,,4.0,,4,,85.0,,20,,25,,12.0,,False,,"Culture pérenne, récolte printemps","RNM FranceAgriMer 2026, ITAB, Guides Bio"
Aubergine,Solanum melongena,Solanacées,legume,4.0,5.0,4.0,4,3.0,4,4.0,5,4.0,4,2.4,2.5,0.04,2.5,6.0,85.0,24-30,25,6.0,9,,5.0,Difficile,False,,Exigeante en chaleur,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Bambou,,Poaceae,legume,,0,,4,,2,,3,,4,,0.5,,NON_TROUVE,,85.0,,20,,30,,0,,False,,Tiges et tuteurs,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Basilic,Ocimum basilicum,,aromatique,0.5,1.5,2.0,4,2.0,2,2.0,3,3.0,4,3.0,25.0,,25,,85.0,,22,10.0,8,,40.0,Facile,False,,Aromatique frileuse,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Betterave,Beta vulgaris,Chénopodiacées,legume,4.0,4.0,3.0,3,2.0,3,3.0,4,2.0,3,22.0,25.0,1.0,25,6.0,85.0,10-30,15,10.0,8,,3.41,Facile,False,,Racine rustique,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Blette,Beta vulgaris var. cicla,Chénopodiacées,legume,3.0,3.5,3.0,3,2.0,2,3.0,3,3.0,3,6.0,8.0,1.0,8,5.0,85.0,10-30,15,15.0,10,,3.87,Facile,False,,Feuille et carde,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Bourrache,,Boraginaceae,aromatique,,1.0,,1,,1,,1,,1,6.0,5.0,,5,,85.0,,18,,10,,20.0,Facile,False,,Fleurs comestibles,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Brocoli,,Brassicacées,legume,1.5,2.0,4.0,4,,3,,4,4.0,4,,4.0,,4,,85.0,,20,,6,,5.36,,,,Chou à inflorescence,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Camomille,,Asteraceae,aromatique,,0.8,,1,,1,,1,,2,,9.0,,9,,85.0,,18,,12,,40.0,,False,,Fleurs séchées,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Capucine,,Tropaeolaceae,legume,,0.5,4.0,1,4.0,1,6.0,1,,2,6.0,10.0,,NON_TROUVE,,85.0,,18,,12,,40.0,Facile,False,,"Fleur comestible, attire pucerons","RNM FranceAgriMer 2026, ITAB, Guides Bio"
Carotte,Daucus carota,Apiacées,legume,4.0,4.5,2.0,2,2.0,3,3.0,4,2.0,3,80.0,100.0,0.35,100,4.5,85.0,7-30,15,15.0,15,,2.5,Moyen,False,,"Racine, semis direct","RNM FranceAgriMer 2026, ITAB, Guides Bio"
Cerisier,,Rosaceae,arbre_fruitier,,5.0,,2,,2,,3,,3,,0.03,,0.03,,85.0,,NON_TROUVE,,NON_TROUVE,,8.0,,False,,Arbre fruitier,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Chayote,,Cucurbitaceae,legume,,6.0,,3,,3,,4,,4,,0.5,,NON_TROUVE,,85.0,,20,,20,,5.0,,False,,"Christophine, grimpante","RNM FranceAgriMer 2026, ITAB, Guides Bio"
Chicorée frisée,,Asteraceae,legume,,2.5,,3,,2,,3,,3,10.0,9.0,0.27,NON_TROUVE,9.0,85.0,25,20,4.0,5,,4.0,Facile,False,,Salade amère,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Chicorée sauvage,,Asteraceae,legume,,2.5,,3,,2,,3,,3,12.0,9.0,0.27,NON_TROUVE,8.0,85.0,10,20,9.0,5,,4.0,Facile,False,,Salade amère,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Chou,Brassica oleracea,Brassicacées,legume,5.0,3.5,4.0,4,3.0,3,4.0,4,3.0,4,,4.0,,4,,85.0,,20,,6,,3.0,Moyen,,,Famille brassicacées,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Chou brocoli,,Brassicaceae,legume,1.5,2.0,15.0,4,6.0,3,19.0,4,,4,3.3,4.0,0.03,4,4.5,85.0,7-30,20,8.0,6,,5.36,Moyen,False,,Inflorescence verte,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Chou de Bruxelles,,Brassicaceae,legume,1.0,1.5,13.0,4,6.0,3,16.0,4,,3,2.5,3.0,0.04,3,5.5,85.0,7-20,18,8.0,8,,11.83,Moyen,False,,Petites pommes,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Chou de Chine,,Brassicaceae,legume,2.0,3.5,12.0,4,7.0,3,18.0,4,,4,4.0,4.0,0.03,4,2.5,85.0,7-30,20,5.0,6,,3.0,Difficile,False,,Famille brassicacées,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Chou frisé,,Brassicaceae,legume,2.0,3.0,14.0,3,6.0,2,18.0,3,,3,3.0,4.0,0.03,4,5.5,85.0,7-20,18,10.0,6,,2.93,Facile,False,,"Kale, résistant","RNM FranceAgriMer 2026, ITAB, Guides Bio"
Chou kale,,Brassicacées,legume,2.0,3.0,3.0,3,,2,,3,3.0,3,,4.0,,4,,85.0,,18,,6,,5.0,,,,Kale superfood,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Chou pommé,,Brassicaceae,legume,2.0,5.0,14.0,4,8.0,3,21.0,4,3.0,4,3.0,5.0,0.03,4,5.0,85.0,7-30,20,6.0,6,,2.5,Moyen,False,,Chou cabus/milan,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Chou-fleur,,Brassicaceae,legume,1.5,3.5,19.0,4,8.0,3,26.0,4,4.0,4,2.2,4.0,0.03,4,5.5,85.0,7-30,20,9.0,6,,3.0,Difficile,False,,Famille brassicacées,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Chou-rave,,Brassicaceae,legume,3.5,3.5,12.0,4,6.0,3,17.0,4,,4,16.0,4.0,0.06,4,5.0,85.0,7-30,20,9.0,6,,3.0,Facile,False,,Famille brassicacées,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Châtaignier,,Fabaceae,arbre_fruitier,,4.0,,1,,1,,2,,2,,0.01,,NON_TROUVE,,85.0,,NON_TROUVE,,NON_TROUVE,,9.0,,False,,Arbre à noix,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
